epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7253,1.72978,3.0432,1.98494,0.39517,0.40264,0.32316,0.1298,1.82656,3.03596,2.21688,0.000661692,0.000661692,0.000661692
2,95.7882,1.7555,2.39302,2.0449,0.15711,0.18977,0.06786,0.02052,2.49793,5.9131,2.90636,0.00130206,0.00130206,0.00130206
3,128.671,1.75874,2.10425,2.05627,0.36739,0.34653,0.28143,0.10071,2.01988,2.51381,2.37933,0.00191602,0.00191602,0.00191602
4,161.72,1.68488,1.97313,1.96723,0.41173,0.33498,0.28785,0.11503,2.06524,2.52259,2.37047,0.0018812,0.0018812,0.0018812
5,193.736,1.59469,1.81411,1.8971,0.49088,0.43912,0.39587,0.17404,1.82155,2.28961,2.10019,0.0018416,0.0018416,0.0018416
6,226.262,1.53123,1.70747,1.82803,0.60828,0.5033,0.53658,0.27324,1.62636,1.96516,1.85979,0.001802,0.001802,0.001802
7,259.695,1.43917,1.62593,1.751,0.63244,0.54373,0.57267,0.31303,1.54293,1.59206,1.7891,0.0017624,0.0017624,0.0017624
8,292.297,1.35816,1.51918,1.68572,0.66587,0.52558,0.56473,0.31261,1.52599,1.62533,1.75422,0.0017228,0.0017228,0.0017228
9,324.431,1.29796,1.42366,1.63726,0.70378,0.53218,0.58804,0.31318,1.55061,1.62793,1.78259,0.0016832,0.0016832,0.0016832
10,357.906,1.19202,1.31565,1.55952,0.76648,0.62018,0.68065,0.40546,1.40355,1.33079,1.58111,0.0016436,0.0016436,0.0016436
11,390.262,1.14685,1.23406,1.50732,0.72538,0.63531,0.67496,0.39017,1.41868,1.37438,1.60472,0.001604,0.001604,0.001604
12,421.719,1.06842,1.13864,1.4516,0.72628,0.65182,0.70934,0.43611,1.31471,1.22264,1.52411,0.0015644,0.0015644,0.0015644
13,453.573,0.98925,1.05999,1.39604,0.70659,0.64604,0.70112,0.42033,1.29928,1.26869,1.50302,0.0015248,0.0015248,0.0015248
14,486.918,0.95908,0.99351,1.35535,0.73579,0.69802,0.75144,0.46458,1.29351,1.16853,1.50814,0.0014852,0.0014852,0.0014852
15,518.822,0.87397,0.89859,1.29704,0.75676,0.67822,0.74036,0.46827,1.26451,1.14706,1.47598,0.0014456,0.0014456,0.0014456
16,550.864,0.84284,0.83489,1.26505,0.75691,0.69637,0.75431,0.48919,1.23757,1.11598,1.42598,0.001406,0.001406,0.001406
17,583.288,0.80736,0.78694,1.23346,0.81311,0.70716,0.79908,0.50854,1.2227,1.04661,1.40438,0.0013664,0.0013664,0.0013664
18,615.701,0.75667,0.73706,1.19601,0.74861,0.75165,0.80064,0.5311,1.17022,1.01923,1.37721,0.0013268,0.0013268,0.0013268
19,647.403,0.69426,0.66904,1.15602,0.79997,0.74092,0.82679,0.56594,1.0961,0.92783,1.30642,0.0012872,0.0012872,0.0012872
20,678.942,0.65498,0.61195,1.12345,0.77784,0.77805,0.81912,0.5657,1.06518,0.93642,1.29107,0.0012476,0.0012476,0.0012476
21,712.053,0.6038,0.56698,1.08892,0.78525,0.77558,0.8262,0.57825,1.03626,0.92862,1.26504,0.001208,0.001208,0.001208
