epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1075,1.55155,2.66229,1.74343,0.55934,0.30027,0.37136,0.17378,1.46105,2.63401,1.66754,0.000657534,0.000657534,0.000657534
2,56.3793,1.68873,2.29278,1.81891,0.15043,0.10456,0.04215,0.0146,2.90435,4.39764,4.31167,0.00131109,0.00131109,0.00131109
3,69.9866,1.74803,2.12424,1.87056,0.07828,0.16086,0.03091,0.00972,2.98333,3.87472,3.75894,0.00195145,0.00195145,0.00195145
4,83.7818,1.7257,1.96498,1.87539,0.4035,0.30105,0.25358,0.09827,2.3019,2.33216,2.26663,0.0019406,0.0019406,0.0019406
5,97.7221,1.66962,1.85856,1.82221,0.38246,0.48816,0.35309,0.15135,1.91572,2.06111,1.95294,0.0019208,0.0019208,0.0019208
6,111.812,1.6464,1.74544,1.77864,0.6371,0.52547,0.50286,0.23694,1.78014,1.85374,1.84344,0.001901,0.001901,0.001901
7,125.625,1.52012,1.64734,1.7034,0.60112,0.57105,0.49889,0.26156,1.66072,1.64591,1.68073,0.0018812,0.0018812,0.0018812
8,139.439,1.46311,1.5509,1.66299,0.65393,0.39515,0.47194,0.24792,1.73712,1.7958,1.74601,0.0018614,0.0018614,0.0018614
9,153.313,1.42062,1.50979,1.63009,0.64432,0.5391,0.55656,0.32122,1.50821,1.55727,1.49394,0.0018416,0.0018416,0.0018416
10,167.162,1.36454,1.45491,1.57756,0.69055,0.49655,0.5616,0.29699,1.65217,1.68062,1.63957,0.0018218,0.0018218,0.0018218
11,180.998,1.31631,1.41547,1.54272,0.65153,0.5496,0.57604,0.34788,1.43946,1.51729,1.46554,0.001802,0.001802,0.001802
12,194.829,1.25929,1.3337,1.49764,0.65499,0.53442,0.56543,0.30658,1.62847,1.66098,1.644,0.0017822,0.0017822,0.0017822
13,208.541,1.23724,1.29364,1.47591,0.63431,0.51475,0.5255,0.30577,1.52995,1.6031,1.54238,0.0017624,0.0017624,0.0017624
14,222.535,1.18509,1.23001,1.43853,0.6191,0.55228,0.54453,0.30211,1.49852,1.56992,1.51371,0.0017426,0.0017426,0.0017426
15,236.476,1.14497,1.19269,1.40623,0.76838,0.53351,0.61911,0.372,1.47161,1.36792,1.48297,0.0017228,0.0017228,0.0017228
16,250.447,1.11703,1.14826,1.38126,0.69598,0.59517,0.63019,0.36686,1.46735,1.37238,1.47852,0.001703,0.001703,0.001703
17,264.491,1.07301,1.10393,1.359,0.71876,0.61126,0.67936,0.40076,1.41924,1.28895,1.44445,0.0016832,0.0016832,0.0016832
18,278.2,1.02833,1.06295,1.31963,0.6676,0.55496,0.59029,0.35375,1.42423,1.40568,1.42653,0.0016634,0.0016634,0.0016634
19,291.826,1.02264,1.02909,1.31268,0.66759,0.61394,0.63494,0.35122,1.44766,1.40515,1.47674,0.0016436,0.0016436,0.0016436
20,305.51,0.96549,0.97233,1.283,0.6755,0.60322,0.62388,0.36425,1.39794,1.38859,1.42351,0.0016238,0.0016238,0.0016238
21,319.08,0.91342,0.91191,1.24639,0.74209,0.51684,0.59522,0.34646,1.42424,1.53039,1.45771,0.001604,0.001604,0.001604
22,332.414,0.88893,0.88712,1.2353,0.71632,0.60928,0.656,0.41207,1.37034,1.34225,1.37932,0.0015842,0.0015842,0.0015842
23,346.574,0.86415,0.85607,1.21378,0.71997,0.63416,0.68463,0.41824,1.28094,1.19163,1.34854,0.0015644,0.0015644,0.0015644
24,361.543,0.84742,0.8268,1.19002,0.7301,0.63003,0.656,0.4097,1.30941,1.24908,1.35554,0.0015446,0.0015446,0.0015446
25,375.661,0.81771,0.80423,1.18131,0.70537,0.64611,0.69423,0.43599,1.31792,1.23148,1.33408,0.0015248,0.0015248,0.0015248
26,389.457,0.78537,0.75469,1.15627,0.70052,0.6059,0.64515,0.39286,1.29691,1.23187,1.33113,0.001505,0.001505,0.001505
27,403.187,0.761,0.72645,1.14832,0.75003,0.61394,0.67237,0.39974,1.35868,1.21973,1.41582,0.0014852,0.0014852,0.0014852
28,417.196,0.73116,0.6973,1.12824,0.70707,0.64879,0.64448,0.4037,1.24074,1.16659,1.28298,0.0014654,0.0014654,0.0014654
29,431.245,0.72419,0.66893,1.11534,0.74659,0.63539,0.68984,0.4495,1.22816,1.1544,1.28614,0.0014456,0.0014456,0.0014456
30,445.271,0.69725,0.63702,1.09974,0.78661,0.62735,0.70026,0.45956,1.24494,1.16896,1.30578,0.0014258,0.0014258,0.0014258
31,459.178,0.66635,0.61397,1.07569,0.75714,0.6603,0.70372,0.44295,1.22114,1.15971,1.30918,0.001406,0.001406,0.001406
32,473.146,0.65626,0.58992,1.07087,0.78778,0.64879,0.7069,0.46134,1.20642,1.1873,1.29828,0.0013862,0.0013862,0.0013862
33,487.248,0.64678,0.58632,1.07021,0.76423,0.68901,0.71506,0.47033,1.2697,1.11453,1.37164,0.0013664,0.0013664,0.0013664
34,501.177,0.63266,0.55732,1.05723,0.73606,0.68901,0.72237,0.45219,1.27266,1.16276,1.32534,0.0013466,0.0013466,0.0013466
35,515.225,0.60131,0.5389,1.03905,0.76307,0.68901,0.72745,0.47983,1.17471,1.14969,1.30581,0.0013268,0.0013268,0.0013268
36,529.347,0.5789,0.50954,1.0293,0.78039,0.68365,0.71983,0.46051,1.26448,1.14526,1.3389,0.001307,0.001307,0.001307
37,543.738,0.56252,0.49986,1.02313,0.77539,0.66488,0.70102,0.44886,1.25552,1.1902,1.31847,0.0012872,0.0012872,0.0012872
38,558.238,0.55628,0.47926,1.01456,0.73818,0.70297,0.71554,0.44802,1.30493,1.16649,1.35814,0.0012674,0.0012674,0.0012674
39,572.466,0.55185,0.47593,1.00374,0.83116,0.67828,0.76246,0.4901,1.17227,1.08392,1.25618,0.0012476,0.0012476,0.0012476
40,586.672,0.52131,0.44071,0.99105,0.81774,0.68562,0.74848,0.50014,1.17918,1.05675,1.27848,0.0012278,0.0012278,0.0012278
41,601.136,0.50164,0.43752,0.9905,0.84254,0.68633,0.76133,0.51842,1.11265,1.06693,1.22476,0.001208,0.001208,0.001208
42,615.264,0.49404,0.42817,0.97731,0.73638,0.71893,0.74814,0.48227,1.21681,1.123,1.26424,0.0011882,0.0011882,0.0011882
43,629.575,0.47901,0.41774,0.97615,0.70305,0.72994,0.73377,0.48714,1.18426,1.07519,1.30311,0.0011684,0.0011684,0.0011684
44,643.816,0.47667,0.40664,0.97233,0.79246,0.71314,0.75704,0.49137,1.17258,1.13952,1.2605,0.0011486,0.0011486,0.0011486
45,658.423,0.45686,0.39831,0.96356,0.78847,0.67828,0.76046,0.51342,1.16153,1.0741,1.24466,0.0011288,0.0011288,0.0011288
46,672.49,0.45773,0.38538,0.95527,0.80896,0.69169,0.77298,0.49947,1.18995,1.06543,1.26059,0.001109,0.001109,0.001109
47,686.622,0.45561,0.37792,0.95774,0.7224,0.71861,0.73054,0.47734,1.16936,1.10213,1.26882,0.0010892,0.0010892,0.0010892
48,700.442,0.4335,0.37046,0.94907,0.82896,0.68097,0.75751,0.49551,1.1831,1.08678,1.25961,0.0010694,0.0010694,0.0010694
49,714.361,0.41443,0.35535,0.94509,0.82662,0.70299,0.7701,0.51774,1.17257,1.09183,1.26739,0.0010496,0.0010496,0.0010496
50,728.087,0.41265,0.34459,0.93764,0.78985,0.74565,0.7829,0.53358,1.06898,1.01879,1.16709,0.0010298,0.0010298,0.0010298
51,741.599,0.40298,0.33864,0.93185,0.79149,0.70509,0.76565,0.53233,1.06802,1.01091,1.17308,0.00101,0.00101,0.00101
52,755.384,0.38873,0.32881,0.92886,0.77309,0.74799,0.782,0.52724,1.13604,1.0455,1.24346,0.0009902,0.0009902,0.0009902
53,769.266,0.38234,0.32147,0.92662,0.82893,0.70777,0.78206,0.54527,1.11111,0.9848,1.23331,0.0009704,0.0009704,0.0009704
54,783.468,0.37392,0.32357,0.92558,0.84379,0.70962,0.7844,0.53521,1.11763,0.98035,1.26905,0.0009506,0.0009506,0.0009506
55,797.62,0.35347,0.30525,0.91904,0.83224,0.69159,0.77057,0.53123,1.10419,1.0361,1.21487,0.0009308,0.0009308,0.0009308
56,811.677,0.35069,0.30051,0.91613,0.83244,0.75921,0.80649,0.54452,1.09052,1.00996,1.22494,0.000911,0.000911,0.000911
57,825.918,0.34293,0.30176,0.91428,0.78576,0.73995,0.76386,0.5285,1.09909,0.97717,1.2252,0.0008912,0.0008912,0.0008912
58,840.027,0.33901,0.29651,0.91184,0.7903,0.72922,0.77782,0.55351,1.02059,0.97112,1.17404,0.0008714,0.0008714,0.0008714
59,854.232,0.33578,0.29082,0.91135,0.78391,0.71314,0.76084,0.52639,1.09312,1.03281,1.18655,0.0008516,0.0008516,0.0008516
60,868.296,0.32606,0.28502,0.90666,0.78706,0.74799,0.79045,0.54247,1.07869,0.9735,1.19866,0.0008318,0.0008318,0.0008318
61,882.281,0.30922,0.27306,0.90329,0.83612,0.70777,0.78869,0.55015,1.0415,0.99209,1.17737,0.000812,0.000812,0.000812
62,896.4,0.30431,0.26808,0.90163,0.80546,0.74531,0.79934,0.55045,1.06691,0.98154,1.2022,0.0007922,0.0007922,0.0007922
63,910.371,0.30267,0.26619,0.8988,0.76814,0.74607,0.77482,0.54693,1.06217,1.01248,1.16792,0.0007724,0.0007724,0.0007724
64,924.241,0.30863,0.27006,0.90025,0.79968,0.75988,0.77628,0.54683,1.03677,0.96961,1.17783,0.0007526,0.0007526,0.0007526
65,937.871,0.29613,0.26038,0.89638,0.78884,0.73995,0.77672,0.54651,1.05218,0.96698,1.18664,0.0007328,0.0007328,0.0007328
66,951.97,0.29289,0.26066,0.89465,0.81198,0.7319,0.78399,0.56067,1.00314,0.97958,1.13074,0.000713,0.000713,0.000713
67,966.01,0.28912,0.25607,0.89322,0.78668,0.74531,0.78336,0.55199,1.06414,0.98956,1.19314,0.0006932,0.0006932,0.0006932
68,979.901,0.28331,0.24868,0.89321,0.83761,0.71582,0.78549,0.55635,1.03475,0.95658,1.14979,0.0006734,0.0006734,0.0006734
69,994.155,0.26587,0.23896,0.88896,0.76503,0.7748,0.80116,0.56669,1.04099,0.92895,1.15652,0.0006536,0.0006536,0.0006536
70,1008.46,0.25406,0.23204,0.88706,0.80376,0.74669,0.79367,0.56262,1.01768,0.97995,1.11959,0.0006338,0.0006338,0.0006338
71,1022.61,0.25248,0.22758,0.88654,0.84327,0.73563,0.7862,0.55909,1.05579,0.94179,1.16941,0.000614,0.000614,0.000614
72,1036.6,0.24865,0.22751,0.88599,0.8127,0.73285,0.80018,0.56621,0.99652,0.98867,1.13474,0.0005942,0.0005942,0.0005942
73,1050.47,0.24396,0.22477,0.88416,0.82339,0.7319,0.79821,0.55921,1.02887,0.97375,1.1626,0.0005744,0.0005744,0.0005744
74,1064.34,0.23628,0.22054,0.88297,0.7874,0.77212,0.80505,0.57064,1.01476,0.94397,1.16032,0.0005546,0.0005546,0.0005546
75,1078.15,0.23757,0.21827,0.88266,0.78969,0.75498,0.78782,0.5674,0.99151,0.9798,1.13672,0.0005348,0.0005348,0.0005348
76,1091.69,0.23037,0.21428,0.88192,0.79465,0.76139,0.79551,0.56573,0.97442,0.96422,1.119,0.000515,0.000515,0.000515
77,1105.53,0.22824,0.21321,0.88014,0.81162,0.75067,0.79358,0.57086,0.97147,0.97124,1.10354,0.0004952,0.0004952,0.0004952
78,1119.03,0.22124,0.20842,0.87912,0.79264,0.75871,0.79794,0.56828,0.99344,0.98703,1.11834,0.0004754,0.0004754,0.0004754
79,1132.84,0.22228,0.20568,0.8779,0.78258,0.76944,0.79649,0.5953,0.94181,0.93821,1.09986,0.0004556,0.0004556,0.0004556
80,1146.83,0.21833,0.20333,0.87734,0.77972,0.7748,0.78502,0.56851,0.99807,0.98178,1.14619,0.0004358,0.0004358,0.0004358
81,1161.05,0.20596,0.19499,0.8749,0.82297,0.74263,0.79284,0.57508,0.97942,0.96923,1.12951,0.000416,0.000416,0.000416
82,1175.16,0.19876,0.19427,0.87465,0.77279,0.77506,0.79799,0.5718,0.96046,0.98313,1.1096,0.0003962,0.0003962,0.0003962
83,1189.45,0.19761,0.18867,0.87361,0.78005,0.75335,0.79263,0.58556,0.95719,0.95958,1.1119,0.0003764,0.0003764,0.0003764
84,1203.72,0.19659,0.18732,0.87256,0.78323,0.76408,0.78285,0.56822,0.9532,1.00263,1.1123,0.0003566,0.0003566,0.0003566
85,1217.97,0.19288,0.18695,0.87115,0.79313,0.75036,0.79199,0.58735,0.94575,0.98225,1.10443,0.0003368,0.0003368,0.0003368
86,1232.12,0.18183,0.18076,0.87152,0.80543,0.74531,0.80198,0.59457,0.95268,0.95423,1.11291,0.000317,0.000317,0.000317
87,1246.14,0.18308,0.18204,0.87157,0.79594,0.76944,0.80489,0.5886,0.98735,0.95089,1.14953,0.0002972,0.0002972,0.0002972
88,1260.31,0.17339,0.17365,0.86896,0.77999,0.76139,0.79087,0.58907,0.91083,0.96114,1.07731,0.0002774,0.0002774,0.0002774
89,1274.31,0.17229,0.17377,0.86841,0.77163,0.78552,0.79988,0.58928,0.92909,0.96369,1.09132,0.0002576,0.0002576,0.0002576
