epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5446,1.55421,2.57413,1.7325,0.51315,0.41062,0.39499,0.1847,1.61161,2.59247,1.73932,0.000660606,0.000660606,0.000660606
2,59.6047,1.69316,2.19427,1.83793,0.07484,0.1728,0.04304,0.01359,2.63813,3.11523,2.75516,0.00131413,0.00131413,0.00131413
3,82.42,1.73835,1.98866,1.8665,0.41432,0.33451,0.28535,0.11413,2.09407,2.32362,2.18298,0.00195446,0.00195446,0.00195446
4,103.437,1.64991,1.80038,1.79142,0.53139,0.50088,0.42628,0.19527,1.96558,2.23997,2.11443,0.0019406,0.0019406,0.0019406
5,125.902,1.54506,1.68557,1.71614,0.58998,0.46372,0.46456,0.21708,1.93309,1.89358,1.87783,0.0019208,0.0019208,0.0019208
6,146.85,1.48801,1.60532,1.65822,0.58462,0.50265,0.51577,0.26109,1.6767,1.86972,1.68166,0.001901,0.001901,0.001901
7,169.439,1.45022,1.5647,1.63774,0.66287,0.56028,0.5623,0.30075,1.66234,1.66165,1.66113,0.0018812,0.0018812,0.0018812
8,190.281,1.36024,1.45729,1.574,0.69899,0.57522,0.58511,0.31069,1.60211,1.57143,1.59515,0.0018614,0.0018614,0.0018614
9,212.688,1.30516,1.37362,1.52668,0.63101,0.56106,0.61306,0.34776,1.58791,1.53422,1.54341,0.0018416,0.0018416,0.0018416
10,233.343,1.26201,1.33981,1.49046,0.73212,0.57522,0.63232,0.36289,1.5502,1.4453,1.51969,0.0018218,0.0018218,0.0018218
11,255.62,1.1992,1.25249,1.4468,0.6648,0.49912,0.56137,0.3074,1.58846,1.57531,1.5546,0.001802,0.001802,0.001802
12,276.244,1.15232,1.18722,1.41704,0.69061,0.56814,0.60295,0.3456,1.51211,1.44458,1.50647,0.0017822,0.0017822,0.0017822
13,298.302,1.11694,1.15529,1.39249,0.62056,0.55752,0.5617,0.31981,1.56737,1.48648,1.55269,0.0017624,0.0017624,0.0017624
14,318.999,1.0744,1.08848,1.35853,0.67203,0.6,0.64599,0.35538,1.52479,1.42398,1.5221,0.0017426,0.0017426,0.0017426
15,340.328,1.02193,1.03288,1.32457,0.59884,0.55218,0.55144,0.30626,1.61918,1.47289,1.56811,0.0017228,0.0017228,0.0017228
16,361.628,0.98137,0.99644,1.28911,0.60088,0.57699,0.55733,0.31479,1.49948,1.46558,1.47878,0.001703,0.001703,0.001703
17,382.322,0.93946,0.91688,1.26808,0.69712,0.60354,0.64534,0.37811,1.40849,1.31471,1.43702,0.0016832,0.0016832,0.0016832
18,404.38,0.911,0.87399,1.23594,0.68807,0.65841,0.68809,0.39515,1.42106,1.26108,1.43282,0.0016634,0.0016634,0.0016634
19,424.826,0.85188,0.8247,1.20074,0.66161,0.61593,0.65233,0.37954,1.4531,1.30056,1.43089,0.0016436,0.0016436,0.0016436
20,446.947,0.84894,0.79216,1.19643,0.64318,0.67257,0.66316,0.39726,1.40126,1.29131,1.42291,0.0016238,0.0016238,0.0016238
21,467.695,0.83709,0.76686,1.17916,0.71133,0.62655,0.68611,0.39873,1.43364,1.24047,1.43653,0.001604,0.001604,0.001604
22,489.726,0.78107,0.72597,1.15757,0.76453,0.6354,0.69637,0.42714,1.33116,1.2411,1.37918,0.0015842,0.0015842,0.0015842
23,510.288,0.74328,0.68018,1.12489,0.69474,0.62838,0.65882,0.39243,1.41358,1.29633,1.42961,0.0015644,0.0015644,0.0015644
24,532.443,0.71985,0.66691,1.11002,0.70062,0.65664,0.66626,0.41529,1.32064,1.17599,1.38643,0.0015446,0.0015446,0.0015446
25,553.111,0.69977,0.6342,1.1,0.76773,0.65521,0.7326,0.4511,1.33157,1.16475,1.34872,0.0015248,0.0015248,0.0015248
26,575.435,0.68662,0.60697,1.08357,0.73539,0.66372,0.70171,0.41642,1.35271,1.17699,1.38847,0.001505,0.001505,0.001505
27,596.284,0.64569,0.57086,1.06774,0.6913,0.69759,0.72158,0.44561,1.29608,1.19775,1.32516,0.0014852,0.0014852,0.0014852
